id,city,local,trashbury,trashfire,trashrec
134,충청북도,괴산군,18.6,2.3,26.6
135,충청북도,음성군,6.1,36.8,6.1
136,충청북도,단양군,8.8,14.1,15
137,충청남도,천안시,103.5,193,423.7
138,충청남도,공주시,1,42.2,29.4
139,충청남도,보령시,0,50.8,27
140,충청남도,아산시,5.7,133,18.6
141,충청남도,서산시,0,72,25.6
142,충청남도,논산시 ,39.9,45.5,56.9
143,충청남도,계룡시,1,19.9,0
144,충청남도,당진시,5.8,66.1,44.6
145,충청남도,금산군,26.8,0,15.9
146,충청남도,부여군,23,0,3.1
147,충청남도,서천군,12.6,10.6,7.1
148,충청남도,청양군,2.3,15.5,5.4
149,충청남도,홍성군,1.4,29.9,13.4
150,충청남도,예산군,1.4,31.5,4.5
151,충청남도,태안군,0,31.8,35
152,전라북도,전주시,38.5,159,493.6
153,전라북도,군산시,146.3,0,5.9
154,전라북도,익산시,0,120.1,126.2
155,전라북도,정읍시,12.1,36.4,30.8
156,전라북도,남원시,42.2,0,5.4
157,전라북도,김제시,4.2,19.6,40.8
158,전라북도,완주군,1.2,15.7,48.2
159,전라북도,진안군,15.1,0,3.8
160,전라북도,무주군,9.4,0,13.8
161,전라북도,장수군,15.6,0,8
162,전라북도,임실군,9.3,0,6.1
163,전라북도,순창군,8.6,0,5.7
164,전라북도,고창군,13.2,0,30.5
165,전라북도,부안군,13.3,0,26
166,전라남도,목포시,163.3,0,76.1
167,전라남도,여수시,172.4,76.8,97.8
168,전라남도,순천시,33.7,0,206.6
169,전라남도,나주시,23.6,0,18
170,전라남도,광양시,125.9,0,49.4
171,전라남도,담양군,8.7,20.2,5.2
172,전라남도,곡성군,11.7,0,5
173,전라남도,구례군,0,0,0
174,전라남도,고흥군,19.2,23,21.5
175,전라남도,보성군,1.2,15,17.8
176,전라남도,화순군,12.7,0,11.6
177,전라남도,장흥군,10.2,9.1,5.5
178,전라남도,강진군,6.9,8.1,13.8
179,전라남도,해남군,4.9,10.2,39
180,전라남도,영암군,0,32.1,9
181,전라남도,무안군,14.6,34.3,19.6
182,전라남도,함평군,4.5,9.7,1.6
