국적?지역,성별,성별합계,0-4세,5-9세,10-14세,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,50-54세,55-59세,60세이상
스웨덴,M,171,4,2,3,9,31,32,27,17,6,8,10,11,11
스웨덴,F,128,7,2,5,11,33,15,13,4,5,4,8,10,11
우크라이나,M,140,5,1,2,10,35,16,15,8,13,14,8,6,7
우크라이나,F,115,2,4,1,11,46,14,18,2,0,4,4,5,4
스위스,M,137,10,2,2,3,19,27,18,11,14,9,4,5,13
스위스,F,84,8,2,3,8,13,7,4,2,8,5,8,5,11
핀란드,M,108,3,5,2,6,12,23,20,3,4,3,10,9,8
핀란드,F,104,5,3,7,9,28,13,10,5,2,6,4,3,9
노르웨이,M,102,3,0,0,4,20,14,21,5,6,4,5,7,13
노르웨이,F,70,2,1,1,7,19,11,4,1,0,7,1,7,9
루마니아,M,90,2,2,1,3,5,16,9,11,12,14,6,7,2
루마니아,F,76,6,4,3,3,12,10,11,9,10,5,1,1,1
포르투갈,M,53,4,1,1,2,5,11,5,7,1,3,6,1,6
포르투갈,F,101,0,2,5,11,21,11,8,10,6,5,10,6,6
벨기에,M,84,0,6,2,5,13,13,12,10,6,9,5,1,2
벨기에,F,53,1,2,4,5,9,4,2,7,2,3,4,2,8
폴란드,M,81,3,4,1,0,4,11,16,8,6,3,3,7,15
폴란드,F,54,4,0,0,3,9,13,10,6,0,2,0,2,5
아일랜드,M,71,2,1,1,1,9,14,8,8,9,3,4,4,7
아일랜드,F,50,8,4,3,1,3,7,3,3,6,0,6,3,3
오스트리아,M,68,2,0,1,4,9,6,11,6,6,7,8,2,6
오스트리아,F,51,2,3,1,4,6,10,3,4,3,3,5,3,4
덴마크,M,66,2,1,4,3,14,11,7,6,4,2,5,2,5
덴마크,F,44,2,2,2,9,5,7,5,3,0,4,1,2,2
그리스,M,55,2,3,3,1,2,9,9,7,3,4,3,3,6
그리스,F,43,0,6,3,1,2,9,6,2,5,2,1,1,5
체코,M,45,3,3,0,1,4,9,5,5,4,5,1,3,2
체코,F,41,2,2,3,0,1,4,5,6,3,5,1,4,5
헝가리,M,25,1,0,0,2,2,3,4,4,0,5,3,1,0
헝가리,F,23,0,2,1,4,3,4,0,0,2,2,2,0,3
크로아티아,M,35,1,0,0,2,2,3,4,6,4,3,3,4,3
크로아티아,F,10,0,0,0,0,0,1,1,0,1,1,0,4,2
불가리아,M,27,2,0,1,1,0,2,4,4,5,1,1,1,5
불가리아,F,17,0,2,1,1,2,2,1,2,0,1,1,1,3
슬로바크,M,21,2,2,0,1,3,1,4,1,1,5,1,0,0
슬로바크,F,20,2,0,0,1,4,3,2,3,1,1,2,0,1
라트비아,M,24,0,1,1,0,1,5,4,4,4,2,1,0,1
라트비아,F,7,1,0,0,1,0,1,1,3,0,0,0,0,0
벨로루시,M,12,0,1,1,0,1,3,0,1,2,3,0,0,0
벨로루시,F,16,0,0,1,2,5,2,2,1,3,0,0,0,0
아제르바이잔,M,17,1,1,0,0,1,5,5,0,2,2,0,0,0
아제르바이잔,F,8,0,0,1,0,3,2,1,0,0,0,1,0,0
리투아니아,M,10,0,0,0,0,1,6,0,0,0,0,1,1,1
리투아니아,F,13,0,0,0,4,2,6,1,0,0,0,0,0,0
세르비아,M,11,0,0,0,0,1,3,1,0,0,4,0,1,1
세르비아,F,8,1,0,0,1,0,3,2,0,0,0,0,0,1
에스토니아,M,3,0,0,0,0,1,1,0,0,0,0,0,1,0
에스토니아,F,10,2,0,0,1,3,3,0,1,0,0,0,0,0
몰타,M,10,0,0,0,0,0,0,0,0,3,4,0,1,2
몰타,F,3,0,0,0,0,2,0,0,0,1,0,0,0,0
슬로베니아,M,6,0,0,0,0,1,1,1,0,1,1,0,0,1
슬로베니아,F,7,0,0,0,2,0,3,1,0,0,0,0,0,1
몰도바,M,8,0,0,0,0,0,1,0,0,2,4,1,0,0
몰도바,F,3,0,0,0,0,2,0,0,0,0,1,0,0,0
아이슬란드,M,5,0,1,0,0,0,1,0,0,2,0,0,1,0
아이슬란드,F,3,0,1,0,0,1,0,1,0,0,0,0,0,0
룩셈부르크,M,7,0,0,0,0,0,2,0,3,1,0,0,1,0
룩셈부르크,F,1,0,0,0,0,0,0,0,1,0,0,0,0,0
알바니아,M,4,0,0,0,0,0,1,2,1,0,0,0,0,0
알바니아,F,2,0,0,0,0,0,1,0,0,0,0,1,0,0
아르메니아,M,3,0,0,0,0,1,0,1,0,1,0,0,0,0
아르메니아,F,2,0,0,0,0,0,0,0,0,0,0,1,1,0
보스니아-헤르체고비나,M,2,0,0,0,0,1,0,0,1,0,0,0,0,0
보스니아-헤르체고비나,F,3,0,0,0,0,1,0,0,2,0,0,0,0,0
그루지야,M,4,0,0,0,0,0,1,0,0,0,0,0,2,1
그루지야,F,1,0,0,0,0,0,1,0,0,0,0,0,0,0
마케도니아,M,2,0,0,0,0,0,1,0,0,0,0,1,0,0
마케도니아,F,2,0,0,0,0,1,0,0,0,0,0,1,0,0
코소보,M,3,0,1,0,0,1,0,0,0,0,0,1,0,0
영국외지민,F,1,0,0,0,0,0,0,0,0,0,1,0,0,0
몬테네그로,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0
산마리노,M,1,0,0,0,0,0,0,0,0,0,0,1,0,0
교황청,M,1,0,0,0,0,0,0,0,0,0,0,0,0,1
유고슬라비아,F,1,0,0,0,0,0,0,1,0,0,0,0,0,0
